행정구역, 총인구수(명), 남자인구수(명), 여자인구수(명)
서울특별시, 51672400, 4649442, 4916548
부산광역시, 9565990, 1647291, 1717067
대구광역시, 2397646, 1182380, 1215266
인천광역시, 2936367, 1470544,1465823
광주광역시, 1442647, 713793, 728854
대전광역시, 1456107, 726666, 729441
울산광역시, 1126369, 578924, 547445
세종특별자치시, 362995, 181328, 181667
경기도, 13500688, 6795088, 6705600
강원도, 1535530, 772949, 762581
충청북도, 1597503, 810225, 787278
충청남도, 2117400, 1082113, 1035287
전라북도, 1794345, 892670, 901675
전라남도, 1840921, 926398, 914523
경상북도, 2632401, 1326844, 1305557
경상남도, 3325840, 1674612, 1651228
제주특별자치도, 675293, 338766, 336527